genres_position0,genres_position1,genres_position2,genres_freq,production_companies_position0,production_companies_position1,production_companies_freq,director_position0,director_freq
Adventure,Action,ScienceFiction,8,Lucasfilm,others,2,J.j.abrams,4
Adventure,Action,ScienceFiction,8,Lucasfilm,others,1,Rianjohnson,4
Adventure,Comedy,Fantasy,1,others,others,1,Shawnlevy,5
Crime,Thriller,no option,20,others,others,1,Danielespinosa,4
Documentary,no option,no option,106,others,others,1,Shanesalerno,1
Action,Crime,Thriller,31,others,others,1,Garethevans,2
Action,Adventure,no option,7,others,others,1,Christophermcquarrie,3
Adventure,Family,Animation,1,WaltDisneyPictures,others,5,Donhall,3
Comedy,Drama,Crime,1,others,others,1,Robthomas,1
Drama,no option,no option,226,others,others,1,Stevenbernstein,2
Drama,no option,no option,226,others,others,1,Davidboyd,1
Animation,Comedy,Family,8,others,others,1,Jimmyhayward,1
Comedy,Drama,no option,79,others,others,4,Tylerperry,9
Music,Drama,no option,12,others,others,1,Kasilemmons,3
Romance,Comedy,no option,17,others,others,1,Davide.talbert,2
Western,Action,Drama,1,others,others,1,Gavinoconnor,4
Action,Crime,Drama,12,others,others,1,Conorallyn,1
Action,Horror,ScienceFiction,5,others,others,1,Paulw.s.anderson,4
Adventure,Animation,Comedy,6,others,others,6,Carlossaldanha,3
Horror,Thriller,Adventure,1,others,others,1,Eliroth,4
Drama,Mystery,Comedy,1,others,others,1,Paulthomasanderson,4
Animation,Comedy,Family,5,others,others,3,Grahamannable,1
Crime,Drama,Mystery,3,others,others,1,Scottfrank,1
Comedy,Drama,no option,79,others,others,1,Rubenamar,1
Drama,no option,no option,226,others,others,1,Destindanielcretton,4
Action,Drama,no option,55,others,others,1,Ditomontiel,2
Drama,Crime,no option,10,others,others,1,Davido.russell,5
Action,Comedy,no option,14,others,others,1,Timstory,6
Action,Thriller,Crime,18,others,others,2,Jameswan,6
Fantasy,Thriller,Drama,1,others,others,1,Ryangosling,1
Horror,Thriller,no option,78,others,others,2,Donmancini,2
Animation,Family,Adventure,4,DreamWorksAnimation,others,1,Deandeblois,2
Adventure,Action,Fantasy,2,WaltDisneyPictures,others,1,Joachimrønning,2
Action,Adventure,ScienceFiction,31,others,MarvelEntertainment,1,Joshtrank,3
Documentary,Music,no option,11,others,others,1,Morganspurlock,3
Thriller,Drama,Crime,1,others,others,1,Scottcooper,4
ScienceFiction,Thriller,no option,3,others,others,1,Tibortakács,1
Drama,no option,no option,226,others,others,1,Susannebier,1
Drama,Thriller,no option,38,others,others,1,Billcondon,6
Crime,Drama,no option,15,others,others,1,Leonemarucci,1
Drama,no option,no option,226,others,others,1,Woodyallen,8
Horror,no option,no option,50,others,others,1,Michaeltaverna,1
Animation,Comedy,Family,5,others,others,4,Genndytartakovsky,3
Documentary,Music,no option,11,others,others,1,Morganneville,1
Adventure,Family,Mystery,1,others,WaltDisneyPictures,1,Bradbird,3
ScienceFiction,Horror,Thriller,2,others,others,1,Jamesdemonaco,3
Crime,Thriller,no option,20,others,others,1,Bradanderson,1
Drama,no option,no option,226,others,others,1,Davidcronenberg,1
Thriller,no option,no option,32,others,others,1,Antoncorbijn,2
Drama,no option,no option,226,others,others,1,Davidgordongreen,10
Drama,Adventure,History,1,others,others,1,Wernerherzog,1
Drama,Fantasy,ScienceFiction,2,others,others,1,Terrygilliam,1
Drama,no option,no option,226,others,others,1,Nedbenson,1
Horror,no option,no option,50,others,others,1,Mikeflanagan,4
Thriller,Horror,no option,24,others,others,1,Markneveldine,2
Horror,Thriller,no option,78,others,others,1,Kevinkölsch,1
Comedy,Drama,Romance,32,others,others,1,Jamesponsoldt,3
Comedy,no option,no option,138,others,others,1,Lakebell,1
Drama,no option,no option,226,others,others,1,Ryancoogler,4
Thriller,ScienceFiction,Drama,1,others,others,1,Wallypfister,1
Action,Adventure,ScienceFiction,31,others,others,1,Neilburger,4
Adventure,Drama,ScienceFiction,2,LegendaryPictures,others,1,Christophernolan,4
Drama,Comedy,no option,40,others,others,1,Geoffmoore,1
Comedy,Romance,no option,47,others,others,1,Jerushahess,1
Comedy,Drama,no option,79,others,others,1,Jordanvogt-roberts,2
Thriller,Action,Crime,5,others,others,1,Antoinefuqua,5
Horror,Thriller,no option,78,others,others,1,Danielstamm,1
Drama,Crime,no option,10,others,others,1,Michaëlr.roskam,1
Animation,Adventure,Comedy,3,others,others,1,Claykaytis,1
War,Drama,History,2,others,others,1,Georgeclooney,4
Crime,Drama,Romance,1,others,others,1,Davidlowery,4
Action,Adventure,Drama,4,others,others,1,J.c.chandor,3
Comedy,Drama,no option,79,others,others,1,Johnwells,2
